gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
TRAPPC3,-0.22783486810228673,8.605667007535523e-06,-0.028603713072179848,0.807,1.569824970605381e-05,0.9470321336760926,False,upreg,cM
MAP7D1,-0.7063978034884442,8.833098903513395e-07,-0.20952231590677226,0.143,3.560538321813567e-06,0.5180912698412697,False,upreg,cM
THRAP3,-0.2346159028193792,0.0313968603139686,-1.282070085580513,0.0452,0.03796732909490508,0.3068223048327137,False,upreg,cM
LSM10,-0.9536406479360211,2.2686683597404886e-06,-0.32943423031837005,0.06768121746095314,6.0708550809410336e-06,0.3756410428076001,False,upreg,cM
CSF3R,0.1427946407598781,0.1787429943955164,0.10034849295986234,0.1827644880392353,0.20122361761172194,0.5694918512549824,False,upreg,cM
C1orf122,-0.7364177178136836,9.506330008756882e-08,0.042246535095287883,0.697,1.232826716256713e-06,0.8990723598775554,False,upreg,cM
RRAGC,0.6829561399866749,2.718958548095793e-06,-0.39138382257812837,0.0526,6.764057641448117e-06,0.33466062717770034,False,upreg,cM
AKIRIN1,-0.4807489568405993,5.580368807664708e-06,-0.16021431456243912,0.09160916091609161,1.1195306680303384e-05,0.42223375314861467,False,upreg,cM
NDUFS5,-0.9982456298783996,2.468929906101563e-07,-0.013481876133005605,0.544,1.878444170225606e-06,0.8339550335570469,False,upreg,cM
CAP1,-0.2790716543122117,0.00011861457516857821,-0.024632091850582783,0.943,0.00017929653498164222,0.9841618285714285,False,upreg,cM
PPT1,-0.42945533348494863,1.2316477649163735e-05,-0.3753562377663087,0.0338,2.127709383857425e-05,0.25609460580912863,False,upreg,cM
SMAP2,0.4376222626600978,1.8598561845816254e-05,0.10523848161453853,0.6937370956641431,3.0733913059240254e-05,0.8990723598775554,False,upreg,cM
PPCS,-0.43676793285767196,3.538230579334655e-05,-0.32187866345625094,0.0502,5.6624093232822794e-05,0.3262106761565836,False,upreg,cM
YBX1,-0.9357090098085858,1.5469476615505242e-09,0.08920703892892974,0.984,2.0317156429644257e-07,0.9954208680536563,False,upreg,cM
CCDC23,-0.1577395458925605,0.021597840215978402,0.2644373698379787,0.436,0.02665239496922665,0.7973290836653387,False,upreg,cM
ELOVL1,-0.8319927432221758,3.4175978696849406e-07,-0.009353871934055194,0.47048026919547264,2.2051355865882335e-06,0.8021446979934015,False,upreg,cM
MED8,-0.32256096343481017,2.9737781011654614e-05,-0.17354064054669577,0.2626,4.78003416613392e-05,0.6725211781206171,False,upreg,cM
ATP6V0B,-0.7667204818869985,1.8058675397872638e-07,-0.20047508518878648,0.8037196280371963,1.6085434769031922e-06,0.9449608751608752,False,upreg,cM
RPS8,-0.6949583107816457,1.396564044559642e-06,0.7652743697478787,2.0008302795948504e-07,4.619793379286062e-06,5.21930870077171e-05,False,upreg,cM
PRDX1,-0.2968157899823639,1.4338616894088715e-07,-0.4320093409881232,0.007999200079992,1.4229518722068474e-06,0.1043324239004671,False,upreg,cM
AKR1A1,-0.23435626825516984,0.0017998200179982,-0.21480975302879987,0.7768,0.002418301216235992,0.9337964450296248,False,upreg,cM
UQCRH,-0.9004525024423223,8.936477169103694e-06,0.18086427693424478,0.2902,1.620457528379677e-05,0.6941186928104576,False,upreg,cM
RNF11,-0.2741241644304068,0.010798920107989201,-0.09182076028467534,0.357,0.013722218592337009,0.7457681660405387,False,upreg,cM
NRD1,0.11777171338752729,0.2953704629537046,0.03686666407098613,0.0108,0.32180576691734164,0.12723096774193549,False,upreg,cM
TXNDC12,-0.9145439879042642,2.361846093318617e-06,0.28956282499128255,0.673,6.231371864716973e-06,0.8911515591007978,False,upreg,cM
BTF3L4,-0.5252436143773432,5.765958075735517e-06,0.12804365151374805,0.814,1.1431203993213568e-05,0.9496114842887122,False,upreg,cM
PRPF38A,-0.6672599755023955,7.80789249430164e-07,0.20183970195914164,0.1632,3.316553463086094e-06,0.5395747747747748,False,upreg,cM
MAGOH,-0.7379952656838165,5.403228564110671e-06,-0.5031273970190017,0.0082,1.0901983821067498e-05,0.10544507042253522,False,upreg,cM
TMEM59,-0.12986604383812503,0.006399360063993601,-0.10807952576911485,0.019,0.008293279969377088,0.18454255319148935,False,upreg,cM
JUN,-0.7980550929479564,6.653265072487787e-07,-0.24388253787053407,0.43515648435156484,3.0524778950660046e-06,0.7973290836653387,False,upreg,cM
JAK1,-0.16997460510165247,0.0059994000599940004,0.07229467067435545,0.2572,0.00778125,0.6680614509246088,False,upreg,cM
LEPROT,-0.11981259960036347,0.07939206079392061,-0.0699067716351819,0.4742,0.09233751784057263,0.8054783255813954,False,upreg,cM
SERBP1,-0.8312261888817547,5.139132053026501e-07,0.13657291247441083,0.7552,2.7456915053599833e-06,0.9187176548967355,False,upreg,cM
SRSF11,-0.28623921289620563,0.0016003200640128026,0.3325958101522277,0.7936380914274282,0.0021629788577996875,0.9423650865640343,False,upreg,cM
ZRANB2,-0.11999741945352194,0.2988,-0.32067609456720114,0.8082808280828083,0.32515423122765197,0.9475120532883303,False,upreg,cM
FUBP1,0.26342299844202466,0.007999200079992,0.40370622621212165,0.1582,0.010286295314130557,0.5359428571428572,False,upreg,cM
GNG5,0.44825518913998325,0.00010260228644610149,0.06994836910654557,0.2166,0.0001566486413466399,0.611300772797527,True,ISGF3,cM
SH3GLB1,0.6290153935289058,4.0691456483728556e-06,0.09410130186296234,0.8438,9.022608980959313e-06,0.9555109585396293,False,upreg,cM
SEP15,-0.5646724365980036,1.0518054225408714e-06,-0.14914963774211168,0.9822,3.976390686458864e-06,0.9954208680536563,False,upreg,cM
GTF2B,0.8866731909399054,6.084510182932096e-07,0.17796902026714978,0.53,2.90585160506965e-06,0.8314793487574978,False,upreg,cM
GBP1,1.995382754419423,7.630916452431291e-07,-0.9936047278097001,5.8377110372849226e-06,3.309751411434569e-06,0.00025583529981035405,False,upreg,cM
GBP2,0.8666424804665429,3.944089948549092e-06,-0.22063014443819606,0.0074,8.815065172644606e-06,0.10083880597014926,False,upreg,cM
GBP4,2.502110856747764,1.4981244794050885e-06,-0.16029170333713472,0.01120896717373899,4.8417261936171535e-06,0.13120239781568843,False,upreg,cM
RPL5,-1.4142704773066475,2.0517872162443034e-07,0.7829508501657082,0.0007999200079992001,1.7186070903037147e-06,0.01947928126145948,False,upreg,cM
TMED5,0.0006517073635874234,0.9847015298470153,-0.15709064052715455,0.2416,0.9863219931435272,0.6487670588235295,False,upreg,cM
DNTTIP2,-0.7860718321738244,8.048361262651755e-06,-0.22055542722716595,0.205,1.499623231183888e-05,0.5979712460063897,False,upreg,cM
GCLM,0.2995403961193463,2.2717798952492106e-05,0.16655892443789022,0.8553144685531446,3.70712251003133e-05,0.9574222493887531,False,upreg,cM
SLC25A24,0.7686985538979951,4.459220686340337e-06,-0.4769131754893222,0.20322354590049055,9.568198558469395e-06,0.5952057692307692,False,upreg,cM
TMEM167B,-0.0283498601727551,0.7623237676232377,0.6069497039339042,1.214120825786103e-05,0.7820242694831641,0.00041055270886767117,False,upreg,cM
PSMA5,0.25056686264802497,5.396217434461953e-07,0.1406263342190952,0.1336,2.799287794127138e-06,0.49888261758691205,False,upreg,cM
GNAI3,0.2126483736179319,0.011198880111988802,0.007890796995839333,0.8388,0.014200802142008022,0.9549439178656538,False,upreg,cM
LAMTOR5,-0.4387498756931857,1.0973438167858535e-22,-0.900825195103239,0.32936706329367066,2.0037498094509686e-19,0.7273031986209538,False,upreg,cM
CD53,0.3174228330898621,6.122796968843381e-07,-0.05453525313495644,0.189,2.90585160506965e-06,0.5774678346118877,False,upreg,cM
ATP5F1,-1.237567118804643,2.6182786760844807e-07,0.11206517007802282,0.2732,1.927813251020267e-06,0.6833742465753424,False,upreg,cM
C1orf162,-1.312583394472147,7.680208795942688e-07,0.5753402196170011,0.019598040195980403,3.316553463086094e-06,0.18592596635903294,False,upreg,cM
