gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr
SERPINB8,-0.29345211645977315,0.0016786495942220398,0.6557243912911147,0.068,0.002485394316029305,0.2388947368421053
CNDP2,1.2260835819148461,1.9137186847121793e-05,-0.6349572891242429,0.6632,4.443155554940451e-05,0.8274504672897197
MBP,-0.4106823178401787,3.303483706450304e-05,0.4648162295639386,0.0244,7.1612732039694e-05,0.12650097087378642
RBCK1,1.4510095915156325,3.6617437552857915e-06,-0.5994347506779819,0.7028,1.0512748200659206e-05,0.8490841628959276
PSMF1,0.460864312365994,0.001037906099670782,0.3299079545636101,0.6996,0.0015941760035211817,0.8484172596517789
FKBP1A,-0.3466951117510952,2.3547616702082016e-08,0.25379462732903785,0.9408,1.0195481609928483e-07,0.9729900581020012
SIRPA,0.33490568637090107,0.00022839824365379,1.726931321960923,0.2584,0.000405647434959392,0.5226727272727273
SNRPB,-0.43417476593107596,2.827087465775702e-09,-0.47182021713599676,0.0212,1.3850134924075457e-08,0.11711172413793104
PANK2,0.8525112426895642,6.661859501919962e-05,0.1818070630938088,0.6048,0.00013323719003839924,0.7941718032786885
TMEM230,-0.7709436488072922,1.7152652085058624e-06,0.07482977428058417,0.2768,5.3879507137772384e-06,0.536970253929867
GPCPD1,-0.6393731934892499,7.198099916902237e-11,0.7720236449133261,0.514,4.4522610296823875e-10,0.7239915789473684
SNRPB2,-0.1494273691469557,0.0204,-1.0168257905491516,0.1044,0.025999045346062052,0.3120313432835821
LINC00493,-0.44755887843258313,1.6640321751248627e-05,-0.28836327948014373,0.1208,3.9318282367994545e-05,0.34130793650793656
CST3,0.7946546629109549,1.0020545455818049e-09,-0.5958406257441559,1.0504442609221575e-05,5.263250432859185e-09,0.0005428424858055794
ABHD12,0.355909453363066,0.004181087798171882,-0.23210160326846122,0.682,0.005769252930810814,0.8383472392638037
HM13,0.47104545468571,0.0005152730600548402,0.0773160505611221,0.4796,0.0008466332740593375,0.7040599634369287
HCK,-0.39346189656641045,1.4577031579278252e-07,0.015154668922028899,0.6176,5.44345095338083e-07,0.7981894736842106
COMMD7,0.1819779064343095,0.0316,0.36524078869053106,0.2712,0.03930372670807454,0.5324294117647058
MAPRE1,-0.4674405559273243,1.1920586338443655e-07,-1.4686700666388124,0.0788,4.5468522176635087e-07,0.2646490566037736
CHMP4B,0.0733280446734048,0.1168,-0.7329880092810569,0.5976,0.1363801749271137,0.7937000828500415
RALY,0.16189903202100106,0.0424,0.209210052448781,0.2772,0.05204965517241379,0.536970253929867
EIF2S2,-0.4076393143513886,6.961698886282334e-05,-0.06956093987675475,0.1012,0.00013888719322321667,0.30652203389830507
DYNLRB1,0.12595476238721975,0.7468,0.29773605935849556,0.0108,0.7693720900321543,0.07425579399141631
MMP24-AS1,-0.3196642356765729,2.8327527025630993e-05,-0.03465710568865151,0.2004,6.268052250699012e-05,0.4573230769230769
EIF6,-0.14974634147715274,0.0009353638841108238,-0.7404727582742905,0.3196,0.0014562224901317198,0.5838075256556442
ERGIC3,-0.382217313458233,0.0001357967215733915,-0.4347433538267875,0.0668,0.00025120825399604295,0.23675575221238934
RBM39,-0.3098342894621656,9.108614824434652e-07,0.253237511283517,0.048,2.9779593772947573e-06,0.194673417721519
SCAND1,-0.36938097939384906,1.1706314549469433e-09,-0.4237212793086763,0.4852,6.108637103664506e-09,0.7065678474114441
C20orf24,0.3096186904824478,0.0001479114000791386,-0.695512512749819,0.1024,0.0002705059589180257,0.30835488721804516
SAMHD1,0.8121443220924864,0.0010363704621713379,-0.7243756632329525,0.4128,0.0015933449907854925,0.6554069375619426
RPN2,-0.6924812383305065,3.0331336145017296e-05,0.4433673310769856,0.7148,6.620000068708134e-05,0.8543999999999999
CTNNBL1,0.9858650378504745,7.60132910875468e-05,0.4725975731975833,0.3512,0.0001497826473828413,0.605621528525296
MAFB,0.29353074820785,0.0009941139595900513,-0.6463408162400728,4.935081395836534e-05,0.0015313178492915981,0.0022588572560371793
TOP1,0.13190806669506797,0.924,-0.4676260346050971,0.208,0.9315594713656389,0.4653854748603352
OSER1,0.4534632009984763,0.00010331487327008669,-0.08139343773561772,0.5168,0.0001968019345763126,0.7242608391608392
ADA,0.3095402588565631,0.0016089942474780284,0.02567268639221674,0.4452,0.002395547197453347,0.6838067114093959
YWHAB,0.07647167952263313,0.6836,0.2622905610323972,0.5144,0.7120462938881664,0.7239915789473684
STK4,-0.08851788540457742,0.1792,-0.4801769388495704,0.9368,0.20490963597430406,0.9721768584356819
CTSA,-0.38586131825655207,0.00011583644280053867,-0.2886032018402678,0.288,0.0002178051424489002,0.5473024911032028
CD40,1.7406965315330913,2.5243495534324774e-06,0.07923686280115609,0.6996,7.544791016042591e-06,0.8484172596517789
STAU1,0.26978114021919364,0.0752,0.13208362782507596,0.834,0.09010501121914734,0.9163703703703703
ZFAS1,-0.048101440354679725,0.3192,0.22011812126360145,0.7824,0.3514490721649484,0.8851728813559321
RNF114,1.4818213082558611,2.162142532256675e-07,0.06615230145965115,0.1448,7.890096438895657e-07,0.37535533980582525
CEBPB,-0.851199652246641,7.032833359092499e-28,0.21446958030509392,0.0132,2.299305926789017e-26,0.08492530120481928
RP11-290F20.3,-0.9905844148455251,3.960234277713664e-26,0.3409614697741986,0.4864,1.09384401946505e-24,0.7069096832579185
GNAS,-0.15163572635701345,0.738,-0.7437493218255711,0.496,0.7612852543464262,0.7124457960644006
CTSZ,0.9548040045209493,6.021557637592178e-05,0.013760560460268445,0.6028,0.00012257351125060571,0.7938975369458129
ATP5E,-0.13853631664185986,9.080334677292589e-05,0.2944457384479589,0.0172,0.0001748400979930616,0.10205333333333334
PSMA7,-0.3307774820305446,6.1455718969358806e-12,0.35594392590433543,0.4896,4.299216672004927e-11,0.7071891891891892
RPS21,-0.14781036042488402,0.6856,-0.1026308979958303,0.9556,0.7132020779220779,0.9819571520205259
OGFR,0.8135274711250587,6.307930221273239e-05,-0.35930435147926054,0.1408,0.00012750932034783259,0.3703802955665025
PPDPF,0.08093994859947722,0.0796,1.0015190104563183,0.366,0.09516358208955224,0.6191467793030623
TPD52L2,0.4488653795114263,0.001890366641773708,-0.18086297019341052,0.5344,0.0027706929186838794,0.7418620450606586
RGS19,-0.6770383330436394,4.3183859490708596e-08,0.8874947322785227,0.008,1.7968972182887056e-07,0.06016901408450705
BSG,-0.6810801636448531,1.8234650330790524e-10,-0.10292241896314495,0.9972,1.0739672731590596e-09,0.997822860712055
CFD,0.5813517763453209,7.561861300155608e-06,-0.698211928275714,0.0608,2.005645993849219e-05,0.22288695652173912
POLR2E,-0.7956356537586119,2.290940503737693e-13,0.34939230461390525,0.0584,1.8820957369168124e-12,0.21656666666666669
GPX4,-0.3575187967664084,6.5845948257905536e-18,0.3507162332046078,0.0048,8.177147992958501e-17,0.04550059171597633
ATP5D,-0.7531773439349115,1.5496676485383984e-07,0.5330339982816118,0.69,5.760017570669407e-07,0.8438015267175571
CIRBP,-0.3779113439458983,2.47056927949674e-06,-0.6732082695543742,0.018,7.425613481714405e-06,0.1044782608695652
RPS15,-0.33022138430643194,1.781292111035502e-19,0.42035542942469817,0.0092,2.5989696352619863e-18,0.06699272727272727
UQCR11-1,-0.3714914643450769,3.955515177363372e-08,0.3377800852781803,0.0632,1.6545000820198752e-07,0.22803243243243246
